,keltner,engulf
322,Signal.WAIT,Signal.WAIT
323,Signal.WAIT,Signal.WAIT
324,Signal.WAIT,Signal.SELL
325,Signal.WAIT,Signal.WAIT
326,Signal.WAIT,Signal.WAIT
327,Signal.WAIT,Signal.BUY
328,Signal.WAIT,Signal.WAIT
329,Signal.BUY,Signal.SELL
330,Signal.BUY,Signal.WAIT
331,Signal.BUY,Signal.WAIT
332,Signal.BUY,Signal.WAIT
333,Signal.BUY,Signal.SELL
334,Signal.BUY,Signal.WAIT
335,Signal.BUY,Signal.WAIT
336,Signal.BUY,Signal.BUY
337,Signal.BUY,Signal.WAIT
338,Signal.SELL,Signal.BUY
339,Signal.SELL,Signal.WAIT
340,Signal.SELL,Signal.WAIT
341,Signal.SELL,Signal.WAIT
342,Signal.SELL,Signal.WAIT
343,Signal.SELL,Signal.WAIT
344,Signal.SELL,Signal.BUY
345,Signal.SELL,Signal.WAIT
346,Signal.SELL,Signal.WAIT
347,Signal.SELL,Signal.WAIT
348,Signal.SELL,Signal.SELL
349,Signal.WAIT,Signal.WAIT
350,Signal.WAIT,Signal.WAIT
351,Signal.BUY,Signal.SELL
352,Signal.BUY,Signal.WAIT
353,Signal.BUY,Signal.WAIT
354,Signal.BUY,Signal.WAIT
355,Signal.BUY,Signal.WAIT
356,Signal.WAIT,Signal.WAIT
357,Signal.WAIT,Signal.WAIT
358,Signal.WAIT,Signal.WAIT
359,Signal.WAIT,Signal.BUY
360,Signal.WAIT,Signal.WAIT
361,Signal.WAIT,Signal.WAIT
362,Signal.WAIT,Signal.WAIT
363,Signal.WAIT,Signal.WAIT
364,Signal.WAIT,Signal.SELL
365,Signal.WAIT,Signal.WAIT
366,Signal.WAIT,Signal.SELL
367,Signal.WAIT,Signal.WAIT
368,Signal.BUY,Signal.SELL
369,Signal.BUY,Signal.WAIT
370,Signal.BUY,Signal.WAIT
371,Signal.BUY,Signal.BUY
372,Signal.BUY,Signal.WAIT
373,Signal.BUY,Signal.WAIT
374,Signal.BUY,Signal.WAIT
375,Signal.BUY,Signal.BUY
376,Signal.BUY,Signal.SELL
377,Signal.BUY,Signal.WAIT
378,Signal.BUY,Signal.WAIT
379,Signal.BUY,Signal.WAIT
380,Signal.WAIT,Signal.WAIT
381,Signal.WAIT,Signal.WAIT
382,Signal.WAIT,Signal.BUY
383,Signal.WAIT,Signal.WAIT
384,Signal.WAIT,Signal.SELL
385,Signal.WAIT,Signal.WAIT
386,Signal.SELL,Signal.WAIT
387,Signal.SELL,Signal.BUY
388,Signal.SELL,Signal.WAIT
389,Signal.SELL,Signal.WAIT
390,Signal.SELL,Signal.WAIT
391,Signal.SELL,Signal.WAIT
392,Signal.SELL,Signal.BUY
393,Signal.WAIT,Signal.WAIT
394,Signal.SELL,Signal.BUY
395,Signal.WAIT,Signal.SELL
396,Signal.WAIT,Signal.WAIT
397,Signal.WAIT,Signal.WAIT
398,Signal.WAIT,Signal.WAIT
399,Signal.WAIT,Signal.WAIT
400,Signal.BUY,Signal.SELL
401,Signal.BUY,Signal.WAIT
402,Signal.BUY,Signal.WAIT
403,Signal.BUY,Signal.WAIT
404,Signal.BUY,Signal.WAIT
405,Signal.WAIT,Signal.WAIT
406,Signal.BUY,Signal.SELL
407,Signal.BUY,Signal.WAIT
