,hband,lband,w
748580,9816.466666666664,9797.266666666663,0.19578118733133315
748581,9817.666666666662,9796.666666666662,0.21412912326020098
748582,9817.666666666662,9796.666666666662,0.21412912326020098
748583,9817.63333333333,9796.699999999995,0.21344934826573403
748584,9817.888888888883,9795.555555555551,0.2277349437177324
748585,9813.811111111107,9795.477777777773,0.18698621288324302
748586,9811.055555555551,9792.988888888884,0.184315708096524
748587,9804.477777777773,9793.14444444444,0.11566028985374546
748588,9800.166666666662,9792.966666666664,0.0734951360510544
748589,9797.444444444442,9790.111111111108,0.074877473225637
748590,9794.722222222219,9787.055555555553,0.0783040922399448
748591,9791.844444444441,9784.111111111108,0.07900848887183848
748592,9788.899999999996,9781.63333333333,0.07426130441002896
748593,9786.577777777773,9779.311111111107,0.07427893215516557
748594,9785.599999999997,9776.466666666664,0.0933780002794512
